                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98115,                  4.864,                 1.1934,                      0,                      0,                      0,                      0,                0.71099,                 4.5222,                0.96671,              1.298e-05,              1.298e-05,              1.298e-05
                      2,                0.81738,                  4.777,                 1.0966,                      0,                      0,                      0,                      0,                0.61759,                 4.4404,                0.89198,             2.6603e-05,             2.6603e-05,             2.6603e-05
                      3,                0.67069,                 4.6159,                 1.0091,                      0,                      0,                      0,                      0,                0.60403,                 4.3942,                0.86841,             3.9665e-05,             3.9665e-05,             3.9665e-05
                      4,                0.59807,                 4.4732,                0.97582,                      0,                      0,                      0,                      0,                0.58368,                 4.3584,                0.86616,             5.2166e-05,             5.2166e-05,             5.2166e-05
                      5,                0.60012,                 4.3318,                0.96052,                0.01945,                0.06279,                0.02189,                 0.0204,                0.58278,                 4.2507,                0.86958,             6.4106e-05,             6.4106e-05,             6.4106e-05
                      6,                0.55864,                 4.1379,                0.95768,                0.05479,                0.29566,                0.11383,                0.10259,                0.58054,                 4.0566,                0.89425,             7.5486e-05,             7.5486e-05,             7.5486e-05
                      7,                0.58184,                 3.8631,                0.95768,                0.05917,                0.48138,                0.16969,                0.15229,                0.62415,                 3.8813,                0.93334,             8.6305e-05,             8.6305e-05,             8.6305e-05
                      8,                0.57821,                  3.567,                0.97113,                0.05535,                0.70638,                0.26683,                0.24012,                0.62797,                 3.5421,                0.96846,             9.6563e-05,             9.6563e-05,             9.6563e-05
                      9,                0.56251,                 3.2381,                0.97289,                0.72868,                0.30461,                0.39433,                0.35251,                0.61713,                 3.1943,                 1.0022,             9.9309e-05,             9.9309e-05,             9.9309e-05
                     10,                0.59381,                  2.828,                  1.005,                0.61421,                0.42202,                0.46156,                0.41354,                0.64267,                 2.7233,                 1.0375,             9.6972e-05,             9.6972e-05,             9.6972e-05
                     11,                0.59277,                 2.4998,                0.99945,                 0.6302,                0.46535,                0.49068,                0.44082,                0.64983,                 2.5299,                  1.064,             9.4636e-05,             9.4636e-05,             9.4636e-05
                     12,                0.59028,                 2.1992,                 1.0019,                0.66866,                 0.5245,                0.55874,                 0.4981,                0.62856,                 2.2169,                 1.0542,               9.23e-05,               9.23e-05,               9.23e-05
                     13,                0.57976,                 2.0033,                0.99977,                0.73084,                0.52394,                0.62126,                0.55349,                0.65066,                 1.9742,                 1.0817,             8.9963e-05,             8.9963e-05,             8.9963e-05
                     14,                0.55501,                  1.794,                0.98401,                0.66333,                0.60956,                0.67818,                0.60711,                 0.6285,                 1.7101,                 1.0661,             8.7627e-05,             8.7627e-05,             8.7627e-05
                     15,                0.54931,                 1.6738,                0.98806,                0.70246,                0.66716,                 0.7254,                0.64996,                0.64445,                  1.486,                 1.0806,              8.529e-05,              8.529e-05,              8.529e-05
                     16,                0.55379,                 1.4265,                 1.0002,                 0.7902,                0.62973,                0.76867,                0.68126,                0.62479,                 1.3905,                 1.0635,             8.2954e-05,             8.2954e-05,             8.2954e-05
                     17,                 0.5369,                 1.3025,                 0.9814,                0.87378,                0.68663,                0.80838,                 0.7102,                0.62363,                 1.2475,                 1.0567,             8.0618e-05,             8.0618e-05,             8.0618e-05
                     18,                0.52927,                  1.199,                0.97702,                0.82028,                0.69485,                 0.8246,                0.72808,                0.61481,                 1.3254,                 1.0602,             7.8281e-05,             7.8281e-05,             7.8281e-05
                     19,                0.51965,                 1.1293,                0.96155,                0.88545,                0.74061,                0.85325,                0.75586,                0.59563,                 1.0417,                 1.0427,             7.5945e-05,             7.5945e-05,             7.5945e-05
                     20,                0.51794,                 1.0535,                0.97294,                0.89642,                0.70915,                0.86057,                0.75939,                0.60263,                 1.1735,                 1.0504,             7.3608e-05,             7.3608e-05,             7.3608e-05
                     21,                 0.5145,                 1.0473,                0.96332,                0.82679,                0.79771,                 0.9021,                0.80216,                0.56829,                0.96149,                  1.016,             7.1272e-05,             7.1272e-05,             7.1272e-05
                     22,                0.51476,                0.96691,                0.96323,                 0.8333,                0.79313,                0.90068,                0.80233,                0.57871,                0.98537,                 1.0298,             6.8936e-05,             6.8936e-05,             6.8936e-05
                     23,                0.51655,                0.92525,                0.95966,                0.93326,                0.75823,                0.91235,                0.81202,                0.56699,                0.80947,                 1.0178,             6.6599e-05,             6.6599e-05,             6.6599e-05
                     24,                0.52391,                0.92372,                0.97225,                0.77649,                0.84358,                0.92133,                0.82045,                0.57048,                0.80773,                 1.0207,             6.4263e-05,             6.4263e-05,             6.4263e-05
                     25,                0.50368,                 0.7771,                0.95712,                0.91373,                0.79398,                0.93847,                0.83698,                0.56023,                0.74634,                  1.014,             6.1926e-05,             6.1926e-05,             6.1926e-05
                     26,                 0.5082,                 0.7642,                0.96611,                0.86127,                0.81743,                0.93035,                0.82463,                0.57761,                0.71788,                 1.0189,              5.959e-05,              5.959e-05,              5.959e-05
                     27,                0.49235,                0.76492,                 0.9485,                0.72763,                 0.8997,                0.93944,                0.83092,                0.57919,                0.70742,                 1.0223,             5.7254e-05,             5.7254e-05,             5.7254e-05
                     28,                0.51089,                0.75806,                0.96282,                0.84828,                0.86356,                0.95362,                0.84555,                0.55277,                0.65994,                 1.0052,             5.4917e-05,             5.4917e-05,             5.4917e-05
                     29,                0.49751,                0.77669,                0.95171,                0.86617,                0.88098,                0.94869,                0.83989,                0.56813,                0.64909,                  1.016,             5.2581e-05,             5.2581e-05,             5.2581e-05
                     30,                0.48611,                0.67807,                 0.9504,                0.88162,                0.85307,                0.94594,                0.84008,                0.55623,                0.64772,                 1.0069,             5.0244e-05,             5.0244e-05,             5.0244e-05
                     31,                0.48806,                0.69782,                0.95212,                0.79521,                0.93373,                0.96137,                 0.8516,                0.55459,                0.57739,                 1.0072,             4.7908e-05,             4.7908e-05,             4.7908e-05
                     32,                0.49021,                0.70187,                0.95946,                0.82548,                0.93403,                0.95973,                0.85668,                0.55182,                0.55889,                 1.0046,             4.5572e-05,             4.5572e-05,             4.5572e-05
                     33,                0.48206,                0.65779,                0.95407,                0.81172,                0.93015,                0.95989,                0.85168,                0.56112,                0.56371,                 1.0058,             4.3235e-05,             4.3235e-05,             4.3235e-05
                     34,                0.45903,                0.67829,                0.94021,                0.82375,                0.94597,                0.96558,                0.85704,                0.55266,                0.55294,                  1.001,             4.0899e-05,             4.0899e-05,             4.0899e-05
                     35,                0.48111,                0.63356,                0.94551,                0.81152,                0.95019,                0.95733,                0.84989,                0.56112,                0.58812,                 1.0119,             3.8562e-05,             3.8562e-05,             3.8562e-05
                     36,                0.47796,                0.62443,                0.94062,                0.84285,                 0.9576,                0.96649,                0.85853,                0.55522,                0.55539,                 1.0021,             3.6226e-05,             3.6226e-05,             3.6226e-05
                     37,                0.47365,                0.59568,                0.94159,                0.83665,                0.95713,                0.96075,                0.85478,                0.56667,                0.54346,                 1.0055,              3.389e-05,              3.389e-05,              3.389e-05
                     38,                 0.4829,                0.60723,                0.94256,                0.79317,                0.94323,                 0.9573,                0.85479,                0.55612,                0.56421,                 1.0037,             3.1553e-05,             3.1553e-05,             3.1553e-05
                     39,                0.47577,                0.62165,                 0.9434,                0.81895,                0.95081,                0.96212,                0.85818,                0.54575,                0.53823,                0.99386,             2.9217e-05,             2.9217e-05,             2.9217e-05
                     40,                0.47182,                0.60353,                0.94334,                0.82077,                0.96185,                0.96492,                0.86056,                 0.5473,                0.52638,                0.99483,              2.688e-05,              2.688e-05,              2.688e-05
                     41,                0.51877,                 1.3578,                 1.0002,                0.80125,                0.92719,                0.94691,                0.84375,                0.56738,                0.67303,                 1.0117,             2.4544e-05,             2.4544e-05,             2.4544e-05
                     42,                0.48569,                0.82369,                0.97354,                0.81133,                0.95002,                   0.96,                0.84646,                 0.5857,                0.63001,                 1.0228,             2.2208e-05,             2.2208e-05,             2.2208e-05
                     43,                0.50967,                0.86888,                 1.0131,                0.87141,                 0.9562,                0.98018,                0.86855,                0.57443,                0.58451,                 1.0152,             1.9871e-05,             1.9871e-05,             1.9871e-05
                     44,                0.48658,                0.72195,                0.97312,                 0.8986,                0.97742,                 0.9802,                 0.8717,                0.56717,                0.55049,                 1.0096,             1.7535e-05,             1.7535e-05,             1.7535e-05
                     45,                0.47608,                0.73088,                0.95767,                0.93372,                0.97515,                0.98018,                0.87167,                0.56119,                0.50047,                 1.0037,             1.5198e-05,             1.5198e-05,             1.5198e-05
                     46,                0.47158,                0.72386,                0.95623,                0.94728,                0.97091,                0.98089,                0.87468,                0.55616,                0.48144,                0.99812,             1.2862e-05,             1.2862e-05,             1.2862e-05
                     47,                0.45856,                0.67217,                0.96422,                0.95134,                0.97321,                0.98153,                  0.874,                0.55256,                0.46168,                0.99815,             1.0526e-05,             1.0526e-05,             1.0526e-05
                     48,                0.46299,                 0.6802,                0.96567,                0.95523,                0.97222,                0.98209,                0.87581,                0.55105,                0.45386,                0.99801,             8.1892e-06,             8.1892e-06,             8.1892e-06
                     49,                0.46991,                0.65309,                0.94526,                0.95951,                0.97825,                0.98406,                0.87707,                0.55207,                0.45331,                0.99811,             5.8528e-06,             5.8528e-06,             5.8528e-06
                     50,                0.45298,                0.66843,                0.95163,                0.96279,                0.97858,                0.98411,                0.87746,                0.55408,                0.45205,                0.99911,             3.5164e-06,             3.5164e-06,             3.5164e-06
